Name;Mark;Price;Kitchen;Specialized menu;Adress
МаккоЛи;4,5;200 руб - 650 руб;Китайская, Азиатская, Корейская;Подходит для вегетарианцев, Для веганов;Лиговский пр.,  25, Санкт-Петербург 191036 Россия
Ресторан «Хачо и Пури»;4,5;700 руб - 800 руб;Европейская, Грузинская;Подходит для вегетарианцев, Безглютеновые блюда;Лиговский проспект 29, Санкт-Петербург 191036 Россия
Julia Child Bistro;5,0;250 руб - 740 руб;Французская, Европейская, Кафе, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Гражданская, 27 Вознесенский пр-т, 30, Санкт-Петербург 190031 Россия
Едим Руками;4,5;300 руб - 1 500 руб;Японская, Американская, Морепродукты, Европейская, Азиатская, Восточноевропейская, Каджунская и креольская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Садовая,  41, Санкт-Петербург 190031 Россия
Ресторан Тбилисити;4,5;250 руб - 700 руб;Европейская, Русская, Кавказская, Грузинская;Подходит для вегетарианцев, Для веганов;Литейный проспект 10 Рядом с Radisson Sonya Hotel, Санкт-Петербург 191028 Россия
Holy Ribs;4,5;10 руб - 30 руб;Американская, Барбекю, Бар, Паб;Ужин;ул. Жуковского, 12, Санкт-Петербург 191014 Россия
Българ;4,5;190 руб - 720 руб;Восточноевропейская, Международная, Барбекю, Гриль, Европейская, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Набережная Канала Грибоедова, д. 109/8, Санкт-Петербург Россия
Тандур;4,5;1 111 руб - 3 704 руб;Индийская, Азиатская, Здоровая;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Адмиралтейский проспект, д. 10, Санкт-Петербург 190000 Россия
Укроп на Марата;4,5;250 руб - 320 руб;Кафе;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Марата, д. 23, Санкт-Петербург 191025 Россия
Иль Миланезе;5,0;20 руб - 1 190 руб;Итальянская, Кафе, Средиземноморская, Винный бар, Римская, Кухня Лацио, Сицилийская, Кухня Ломбардии, Северно-итальянская, Центрально-итальянская, Южно-итальянская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Литейный пр., 7 Metro Chernyshevskaya, Санкт-Петербург 191028 Россия
Мамалыга;4,5;11 113 руб - 133 353 руб;Европейская, Кавказская, Грузинская, Японская, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Ленинский пр., 84/1, Санкт-Петербург 198332 Россия
Брос Бурритос на Моховой;4,5;222 руб - 1 037 руб;Мексиканская, Европейская, Латиноамериканская, Испанская, Южноамериканская;Подходит для вегетарианцев, Для веганов;ул. Моховая 26, Санкт-Петербург 191028 Россия
Birch;5,0;1 000 руб - 1 500 руб;Европейская, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Кирочная д. 3, Санкт-Петербург 191028 Россия
Чечил;4,5;1 400 руб - 1 500 руб;Грузинская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Дегтярный пер., 2, Санкт-Петербург 191144 Россия
Птички и ягоды;4,5;190 руб - 1 550 руб;Барбекю, Европейская, Центральноевропейская, Гриль;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Приморское шоссе, 572, Зеленогорск, Санкт-Петербург 197720 Россия
Бона Капона;4,5;300 руб - 800 руб;Итальянская, Средиземноморская, Европейская;Открыто допоздна, Обед, Ужин, Бранч, Напитки;Славы проспект, д. 43/49, Санкт-Петербург 192286 Россия
Укроп на Восстания;4,5;250 руб - 320 руб;Европейская, Русская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Восстания, 47, Санкт-Петербург 191123 Россия
Камея;5,0;200 руб - 2 000 руб;Кафе, Фастфуд, Европейская, Супы, Центральноевропейская;Завтрак, Бранч, Напитки, Обед;2-я Советская, 21, Санкт-Петербург Россия
Стейк by Steak;4,5;200 руб - 2 000 руб;Японская, Американская, Стейк-хаус, Барбекю, Европейская;Подходит для вегетарианцев;"Лиговский проспект, 30А 4ый этаж, ТРЦ ""Галерея"", Санкт-Петербург 191040 Россия"
Бутерbrodskybar;4,5;Бар, Европейская, Русская, Центральноевропейская;Подходит для вегетарианцев, Для веганов;Завтрак, Обед, Ужин, Бранч;Набережная Макарова, д. 16, Санкт-Петербург 199004 Россия
Бона Капона;4,5;200 руб - 1 100 руб;Итальянская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Оранжерейная, 39, Санкт-Петербург 196601 Россия
Мука;4,5;195 руб - 590 руб;Итальянская, Кафе, Европейская, Здоровая, Пицца;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Гаванская, 35, Санкт-Петербург 199406 Россия
Гоголь;4,5;882 руб - 2 646 руб;Европейская, Русская, Восточноевропейская, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Малая Морская ул., 8, Санкт-Петербург 191186 Россия
Burger Lab;4,5;200 руб - 700 руб;Американская, Барбекю, Европейская, Фастфуд;Подходит для вегетарианцев;ул. Пестеля, 27, Санкт-Петербург 191028 Россия
Ресторан VSЁХОРОШО!;4,5;230 руб - 450 руб;Итальянская, Японская, Русская, Европейская, Восточноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Бухарестская, 31, Санкт-Петербург 192071 Россия
Пхали-Хинкали;5,0;55 руб - 680 руб;Русская, Грузинская;Подходит для вегетарианцев, Для веганов;пр-кт Ветеранов, 160, Санкт-Петербург 198264 Россия
L`Europe Restaurant;4,5;2 963 руб - 5 186 руб;Европейская, Русская, Восточноевропейская, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Михайловская ул., д. 1/7 Mikhailovskaya Ulitsa 1/7, Санкт-Петербург 191011 Россия
Трактир Хлебниковъ;4,5;230 руб - 1 350 руб;Европейская, Русская, Гриль;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Оранжерейная, 21A, Пушкин, Санкт-Петербург 196601 Россия
Тайяки;4,5;150 руб - 300 руб;Японская, Кафе, Фастфуд, Азиатская, Уличная еда;Подходит для вегетарианцев, Для веганов;Переулок Бринько, 3, Санкт-Петербург 190031 Россия
Ресторан EM;4,5;78 руб - 5 000 руб;Современная;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;наб. Реки Мойки, 84 Исаакиевская площадь, Санкт-Петербург 190000 Россия
Северянин;4,5;240 руб - 1 180 руб;Европейская, Русская, Восточноевропейская, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Столярный переулок, д. 18 наб. кан. Грибоедова, 69, Санкт-Петербург 190031 Россия
Пхали-Хинкали;4,5;55 руб - 500 руб;Грузинская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Комендантский пр., д. 27 к. 1, Санкт-Петербург 197371 Россия
Траппист;4,5;Бельгийская, Бар, Морепродукты, Европейская;Подходит для вегетарианцев, Для веганов;Обед, Ужин, Бранч, Открыто допоздна, Напитки;ул. Радищева, д. 36 Гродненский переулок, д. 17, Санкт-Петербург 191014 Россия
"Гастробар ""KoraDuba""";4,5;200 руб - 500 руб;Бар, Европейская, Итальянская, Пицца, Паб;Подходит для вегетарианцев, Для веганов;переулок Гривцова д.20, Санкт-Петербург 191028 Россия
Репа;4,5;1 790 руб - 8 000 руб;Европейская, Современная, Русская;Ужин, Открыто допоздна, Напитки;Театральная пл.,18/10, Санкт-Петербург 190068 Россия
Ресторан Тбилисити;4,5;250 руб - 700 руб;Европейская, Русская, Кавказская, Грузинская;Подходит для вегетарианцев, Для веганов;Литейный проспект 10 Рядом с Radisson Sonya Hotel, Санкт-Петербург 191028 Россия
Пышечка;5,0;19 руб - 100 руб;Кафе, Русская;Подходит для вегетарианцев;наб. кан. Грибоедова, 56-58, Санкт-Петербург 190031 Россия
Perbacco Restobar;5,0;400 руб - 1 000 руб;Итальянская, Средиземноморская, Европейская, Тосканская, Центрально-итальянская;Подходит для вегетарианцев;Sadovaya, 51, Санкт-Петербург 190068 Россия
Укроп на 7-ой Линии;4,5;250 руб - 320 руб;Европейская, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;7-я Линия В.О., 30, Санкт-Петербург 199004 Россия
Палкин;4,5;4 410 руб - 26 460 руб;Европейская, Русская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Невский проспект, 47, Санкт-Петербург 191025 Россия
Тбилисо;4,5;500 руб - 1 500 руб;Армянская, Кавказская, Грузинская, Азербайджанская;Подходит для вегетарианцев, Для веганов;ул. Сытнинская, д. 10 м. Горьковская, Санкт-Петербург 197101 Россия
What the fresh;5,0;140 руб - 350 руб;Кафе, Фастфуд, Здоровая, Уличная еда;Завтрак, Обед, Ужин, Бранч, Напитки;наб. реки Фонтанки, 38 во дворе, Санкт-Петербург 191025 Россия
